produto,marca,categoria,categoria_original,descricao,id,preco,url_produto,volume
dupla cuidado diário - pele oleosa,Sallve,Rosto,Loja Sallve,,7e172276-753d-4b27-b8b4-48f9595a812c,"R$ 146,90",https://www.sallve.com.br/products/dupla-cuidado-diario-pele-oleosa,
Sérum para Cílios,Sallve,Rosto,Loja Sallve,"sérum que aumenta o volume, a largura e o comprimento dos cílios e sobrancelhas, com resultados comprovados associando baicalina, peptídeo fortalecedor e pantenol.",3be36a94-e66f-47f1-9eff-d0b6f639f9d5,"R$ 79,90",https://www.sallve.com.br/products/serum-para-cilios,3g
Kit Antissinais Completão,Sallve,Rosto,Loja Sallve,,c811c1b8-5294-43e6-924d-22abe4b6c94e,"R$ 269,90",https://www.sallve.com.br/products/kit-antissinais-completao,
Kit Antissinais Basicão,Sallve,Rosto,Loja Sallve,,e41980dd-8a22-4d90-8472-3e96beaaa28a,"R$ 199,90",https://www.sallve.com.br/products/kit-antissinais-basicao,
Sérum Uniformizador,Sallve,Rosto,Loja Sallve,"sérum uniformizador é o tratamento eficaz para hiperpigmentação, olheiras e linhas finas. testado em pele sensível, sua fórmula conta com retinol biomimético e niacinamida 5%.",b2d8b7c9-db7c-450b-8c8d-a8475ca74d71,"R$ 79,90",https://www.sallve.com.br/products/serum-uniformizador,35g
Dupla Antiolheiras e Antiatrito,Sallve,Rosto,Loja Sallve,,acef8814-ba44-47a0-b8ba-764328b4dfe4,"R$ 169,90",https://www.sallve.com.br/products/dupla-antiolheiras-e-antiatrito,
Trio Livre de Acne,Sallve,Rosto,Loja Sallve,,e1be4b71-8cf6-4dba-961d-abcc559162d7,"R$ 219,90",https://www.sallve.com.br/products/trio-livre-de-acne,
Dupla Super Antiacne,Sallve,Rosto,Loja Sallve,,ba4691e9-3bad-4172-b90a-c0efa79088f6,"R$ 89,80",https://www.sallve.com.br/products/dupla-super-antiacne,
Dupla Antiacne Rosto e Corpo,Sallve,Rosto,Loja Sallve,,23eb1c29-61a9-48d3-9f9c-9f9b6b74e709,"R$ 129,80",https://www.sallve.com.br/products/dupla-antiacne-rosto-e-corpo,
Dupla Antimarcas - Dia,Sallve,Rosto,Loja Sallve,,78211bd4-ff85-400a-a005-5819b595362e,"R$ 159,90",https://www.sallve.com.br/products/dupla-antimarcas-dia,
Sérum Antiacne,Sallve,Rosto,Loja Sallve,"sérum antiacne com 2% de Ácido Salicílico, Niacinamida e Melaleuca. trata e previne acne, seca espinhas em 24h, controla oleosidade da pele e minimiza os poros.",aef3f3bb-9360-44a9-8069-19de3dc294cc,"R$ 79,90",https://www.sallve.com.br/products/serum-antiacne,35g
Super Niacinamida 20%,Sallve,Rosto,Loja Sallve,"concentrado com ativos uniformizadores em alta concentração, que reduzem o tamanho, a intensidade e a quantidade de marcas na pele, além de prevenir novas hiperpigmentações.",34b83aa3-0155-4285-9f77-cd08adefc026,"R$ 89,90",https://www.sallve.com.br/products/super-niacinamida-20,30ml
Dupla anti cravo,Sallve,Rosto,Loja Sallve,,1692731e-b8e5-4974-af93-82bc194dec3d,"R$ 139,90",https://www.sallve.com.br/products/dupla-anti-cravo,
Esfoliante enzimático,Sallve,Rosto,Loja Sallve,"esfoliante facial com 3 tipos de esfoliação, incluindo enzimas de romã e partículas de bambu. remove cravos e células mortas, deixando a pele renovada e radiante desde o primeiro uso e sem agredir a pele.",a333fb2e-0c99-4564-b6b9-a185d2324c0e,"R$ 74,90",https://www.sallve.com.br/products/esfoliante-enzimatico,70g
Dupla Pele Mais Lisa - Pele Sensível,Sallve,Rosto,Loja Sallve,,dad45bde-3d7a-41d1-8233-dc2b0f902023,"R$ 169,90",https://www.sallve.com.br/products/dupla-pele-mais-lisa-pele-sensivel,
Dupla Redução de Marcas,Sallve,Rosto,Loja Sallve,,ed88a671-2939-4c56-bbdd-7c0b1da9a90f,"R$ 149,90",https://www.sallve.com.br/products/dupla-reducao-de-marcas,
Limpador Facial,Sallve,Rosto,Loja Sallve,"gel de limpeza que remove maquiagem leve e limpa profundamente sem repuxar. com niacinamida, extrato de moringa e livre de sulfatos",20c7d78b-8747-47f5-b25c-51369662c628,"R$ 79,90",https://www.sallve.com.br/products/limpador-facial,300ml
Limpador Antiacne,Sallve,Rosto,Loja Sallve,"limpador antiacne promove uma limpeza profunda, sem ressecar e sem sulfatos. com Ácido Salicílico, Melaleuca, Niacinamida que contribuem para prevenção de cravos e espinhas.",88ed0b48-da23-4a28-af07-cc3f11a4e64d,"R$ 79,90",https://www.sallve.com.br/products/limpador-antiacne,300ml
Dupla Esfoliante,Sallve,Rosto,Loja Sallve,,bf16686e-7cea-4008-a600-022912737f91,"R$ 129,80",https://www.sallve.com.br/products/dupla-esfoliante,
Hidratante Facial,Sallve,Rosto,Loja Sallve,"um gel-creme hidratante de rápida absorção ideal para peles normais e mistas. reduz aparência de poros, acalma e deixa a pele viçosa e macia.",b66a9e21-5f7a-4b98-860e-137f7a4fd02b,"R$ 69,90",https://www.sallve.com.br/products/hidratante-facial,40g
Spray Antiacne Corporal,Sallve,Rosto,Loja Sallve,,7d747825-9b44-44c9-969e-99907616c11f,"R$ 79,90",https://www.sallve.com.br/products/spray-corporal-antiacne,120ml
Limpador Antioleosidade,Sallve,Rosto,Loja Sallve,"limpador facial com ácido glicólico e niacinamida, formulado para peles mistas e oleosas. limpa profundamente, reduz a oleosidade excessiva, desobstrui poros e deixa sensação imediata de frescor",13903d5a-fa4e-4652-86ba-049077ed09c9,"R$ 79,90",https://www.sallve.com.br/products/limpador-antioleosidade,300ml
Dupla Cuidado Diário,Sallve,Rosto,Loja Sallve,,cdef3e88-c0f6-4e41-9914-ee9f92978932,"R$ 159,90",https://www.sallve.com.br/products/dupla-cuidado-diario,
